t,duality_gap,tv_to_ne_a,tv_to_ne_b,entropy_a,entropy_b
0,0.2849682417994271,0.4209631969182024,0.20485990673764193,1.5255315564651202,1.7776473336861363
25,0.03202868906785034,0.026421744398175295,0.03855631156812608,1.943911654797239,1.940999077680769
50,0.0029462585065267097,0.0034102366845800564,0.002758259377071526,1.945878309693813,1.9458884606147673
75,0.000329291199496394,0.00033566120717576364,0.0002617782945301128,1.9459098592521726,1.9459099563150395
100,3.6180279607443294e-05,1.8119429988389113e-05,3.489840777189113e-05,1.9459101473471676,1.945910145604579
125,4.321617134851741e-06,4.181610714443229e-06,2.3801834862363647e-06,1.945910149010917,1.945910149038026
150,4.910820107298375e-07,2.948309471284549e-07,4.630889542528438e-07,1.945910149055091,1.9459101490547537
175,5.915487264612773e-08,5.236159189569989e-08,3.6811294873428935e-08,1.9459101490553068,1.94591014905531
200,7.106122431757963e-09,4.831498784385602e-09,5.822578252878685e-09,1.9459101490553132,1.945910149055313
225,7.884306818528586e-10,6.112659128865161e-10,5.984021750338187e-10,1.9459101490553132,1.9459101490553132
250,9.158097197259352e-11,7.326303452792615e-11,6.570766153402019e-11,1.9459101490553132,1.9459101490553132
275,1.0720875576186728e-11,6.9426270288275305e-12,8.982342647456676e-12,1.9459101490553132,1.945910149055313
300,1.2069303889639116e-12,1.096803203815e-12,7.24170723387374e-13,1.9459101490553135,1.9459101490553135
325,1.3430189500190133e-13,7.56478213403966e-14,1.2961853812498703e-13,1.9459101490553135,1.9459101490553132
350,1.5890067039947553e-14,1.5140666498325572e-14,8.201772594418344e-15,1.945910149055313,1.9459101490553135
375,1.790234627208065e-15,9.43689570931383e-16,1.7486012637846216e-15,1.9459101490553135,1.9459101490553135
400,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
425,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
450,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
475,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
500,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
525,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
550,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
575,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
600,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
625,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
650,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
675,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
700,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
725,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
750,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
775,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
800,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
825,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
850,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
875,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
900,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
925,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
950,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
975,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1000,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1025,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1050,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1075,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1100,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1125,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1150,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1175,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1200,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1225,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1250,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1275,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1300,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1325,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1350,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
1375,3.007514872064933e-16,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,1.9459101490553132
