t,duality_gap,tv_to_ne_a,tv_to_ne_b,entropy_a,entropy_b
0,0.5059900138344562,0.46221221609761,0.4555025458222808,0.6150862243865622,0.6317280237564118
25,0.1306530765888908,0.1037667095556919,0.09825185997896882,1.0747971404743086,1.0773461569556542
50,0.020919329709707647,0.020799185285442084,0.021011610931297636,1.0975660558289941,1.097510426249614
75,0.006737744646249681,0.004377952244500494,0.004585034461838333,1.098559511286263,1.0985573293582225
100,0.0008053678442773623,0.0009849524053110181,0.0009464031792123795,1.0986094543688667,1.0986097505237011
125,0.00033227750640752634,0.00022222440188121584,0.000237372851366352,1.0986121627571062,1.0986121467217598
150,5.677960432857917e-05,5.4560950129789454e-05,5.228688601160991e-05,1.0986122817747592,1.0986122822017297
175,1.4996773783045498e-05,1.2209321237077742e-05,1.2083884764119146e-05,1.0986122883305414,1.0986122883394387
200,3.423823937085772e-06,2.6294885934197154e-06,2.777649366930701e-06,1.0986122886523504,1.0986122886506429
225,6.064448282142957e-07,6.063753853480236e-07,5.715831886132783e-07,1.0986122886672303,1.098612288667332
250,1.8592272359082194e-07,1.2432427384800881e-07,1.2657452019837478e-07,1.09861228866807,1.098612288668067
275,2.2078676766475645e-08,2.6703803029937134e-08,2.66208317334371e-08,1.0986122886681076,1.0986122886681076
300,9.24889918170931e-09,6.397104901356698e-09,6.200689295354778e-09,1.0986122886681096,1.0986122886681096
325,1.532810676533695e-09,1.4246236135218027e-09,1.516960640435272e-09,1.0986122886681096,1.0986122886681098
350,4.2129257675031324e-10,3.4372604762467063e-10,3.279397031707987e-10,1.0986122886681098,1.0986122886681098
375,9.35646745266657e-11,7.517544919899422e-11,7.49440232095111e-11,1.0986122886681098,1.0986122886681096
400,1.7250119851060693e-11,1.599606558322364e-11,1.684738459850621e-11,1.0986122886681098,1.0986122886681098
425,5.127355947228315e-12,3.625794109396452e-12,3.401334769392861e-12,1.0986122886681098,1.0986122886681098
450,6.002661330957911e-13,7.238931676312177e-13,7.434608484402361e-13,1.0986122886681096,1.0986122886681098
475,2.5734229562128046e-13,1.7533197116392785e-13,1.6966983373833955e-13,1.0986122886681096,1.0986122886681098
500,4.14464758809648e-14,4.113376306236205e-14,3.991251773527438e-14,1.0986122886681098,1.0986122886681098
525,1.1958952346920645e-14,9.048317650695026e-15,9.603429163007604e-15,1.0986122886681096,1.0986122886681098
550,2.5664655585918203e-15,2.1649348980190553e-15,2.0539125955565396e-15,1.0986122886681096,1.0986122886681096
575,5.736152293896641e-16,4.163336342344337e-16,5.273559366969494e-16,1.0986122886681098,1.0986122886681096
600,3.589721112954673e-16,1.3877787807814457e-16,3.3306690738754696e-16,1.0986122886681098,1.0986122886681096
625,4.0893214740359935e-16,2.220446049250313e-16,3.885780586188048e-16,1.0986122886681096,1.0986122886681096
650,3.3676765080296414e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
675,3.3121653567983837e-16,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,1.0986122886681096
