t,duality_gap,tv_to_ne_a,tv_to_ne_b,entropy_a,entropy_b
0,0.5059900138344562,0.46221221609761,0.4555025458222808,0.6150862243865622,0.6317280237564118
25,0.3846981403914904,0.37764797848967047,0.3220385681916769,0.8014705662462868,0.8309737046216303
50,0.21845472348111555,0.19395900158647641,0.20031517159522572,1.0192875880679293,1.0062159576422545
75,0.10318080658915091,0.09382731208715012,0.09060410128779234,1.0774198135893784,1.074250906893042
100,0.036187388219175845,0.03155443081982673,0.033571324605820185,1.09635776460427,1.0957272793280792
125,0.01600509555608667,0.01365332411415382,0.014148498373524027,1.0981256432176338,1.0980355982443264
150,0.004970288556584875,0.004324014458262027,0.004617963641647155,1.0985690656479614,1.0985563967091045
175,0.0022032620374466258,0.0018568566657988506,0.0019487388682221662,1.0986031724141236,1.098601450863982
200,0.0006722141956855462,0.0005846398178342982,0.0006246838738139526,1.0986114961087394,1.0986112624791444
225,0.00029817189048810997,0.0002508801596322885,0.0002637449199849595,1.0986121219624478,1.0986120903986827
250,9.076035594225059e-05,7.893330034322577e-05,8.434512723881626e-05,1.0986122742152207,1.098612269951596
275,4.026197951961426e-05,3.386870042104695e-05,3.561365365928326e-05,1.0986122856292033,1.0986122850536204
300,1.225147826074043e-05,1.0654923183056608e-05,1.1385544623904176e-05,1.098612288404744,1.0986122883270428
325,5.434916391724073e-06,4.571758590227182e-06,4.807450425359239e-06,1.0986122886127363,1.0986122886022478
350,1.6537424428160937e-06,1.4382334964924137e-06,1.53685676188009e-06,1.0986122886633112,1.0986122886618952
375,7.33623072970054e-07,6.17108673911515e-07,6.489257408093252e-07,1.0986122886671008,1.0986122886669096
400,2.232263754583149e-07,1.9413640980903146e-07,2.0744886092272097e-07,1.0986122886680223,1.0986122886679965
425,9.902633733201622e-08,8.329887746238995e-08,8.759367461919076e-08,1.0986122886680914,1.0986122886680878
450,3.013164946626586e-08,2.6205013436975122e-08,2.800196174934655e-08,1.0986122886681082,1.0986122886681076
475,1.3366820863132862e-08,1.1243888431433646e-08,1.1823611728578598e-08,1.0986122886681093,1.0986122886681093
500,4.067244559665303e-09,3.5372174356229635e-09,3.779774077061759e-09,1.0986122886681096,1.0986122886681096
525,1.8042866552677359e-09,1.5177281376121954e-09,1.5959804589016358e-09,1.0986122886681098,1.0986122886681096
550,5.490068695953217e-10,4.774624584591436e-10,5.102032685222468e-10,1.0986122886681096,1.0986122886681096
575,2.4354688451152145e-10,2.0486651264306488e-10,2.154293132772267e-10,1.0986122886681098,1.0986122886681096
600,7.410618970323431e-11,6.444894617985142e-11,6.886857750743047e-11,1.0986122886681098,1.0986122886681098
