game,algo,seed,final_duality_gap,gap_log_linear_rate,final_tv_a,final_tv_b,final_entropy_a,csv_path
rps3,vanilla,0,0.7998904171332806,3.374643398955742e-05,0.6666666666649249,0.6665296879671423,4.903570495513363e-11,exact_gradient\rps3\vanilla_seed0.csv
rps3,vanilla,1,0.7999996800648874,4.217034449807202e-05,0.6666666660720867,0.6666662670390247,1.3229213614451639e-08,exact_gradient\rps3\vanilla_seed1.csv
rps3,vanilla,2,0.634715217641231,4.3421307702650994e-05,0.6666666666666649,0.4600606847248131,7.556331990956471e-14,exact_gradient\rps3\vanilla_seed2.csv
rps3,vanilla,3,0.7999999597522693,3.65992421222317e-05,0.6666666616247717,0.6666666188765393,1.0138277767784975e-07,exact_gradient\rps3\vanilla_seed3.csv
rps3,vanilla,4,0.7973817839237713,4.147035553187042e-05,0.6666666666666269,0.66012112802656,1.282783681053473e-12,exact_gradient\rps3\vanilla_seed4.csv
rps3,nash_md,0,3.867276869110962e-16,-0.006115632846635146,2.498001805406602e-16,3.608224830031759e-16,1.0986122886681096,exact_gradient\rps3\nash_md_seed0.csv
rps3,nash_md,1,3.4231876592608995e-16,-0.006053214774794507,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,exact_gradient\rps3\nash_md_seed1.csv
rps3,nash_md,2,3.7562545666484463e-16,-0.0057956649863474385,2.7755575615628914e-16,2.7755575615628914e-16,1.0986122886681096,exact_gradient\rps3\nash_md_seed2.csv
rps3,nash_md,3,4.0708177569589076e-16,-0.006064110393509872,3.3306690738754696e-16,2.498001805406602e-16,1.0986122886681096,exact_gradient\rps3\nash_md_seed3.csv
rps3,nash_md,4,3.848773152033876e-16,-0.00593212127659238,2.498001805406602e-16,2.498001805406602e-16,1.0986122886681096,exact_gradient\rps3\nash_md_seed4.csv
rps3,slingshot,0,1.03990889973223e-15,-0.014676676780636715,7.494005416219807e-16,9.159339953157541e-16,1.0986122886681096,exact_gradient\rps3\slingshot_seed0.csv
rps3,slingshot,1,3.23815048849004e-16,-0.008802136691298226,2.498001805406602e-16,3.3306690738754696e-16,1.0986122886681096,exact_gradient\rps3\slingshot_seed1.csv
rps3,slingshot,2,6.291263806209221e-16,-0.007810338887779905,4.440892098500626e-16,6.106226635438361e-16,1.0986122886681098,exact_gradient\rps3\slingshot_seed2.csv
rps3,slingshot,3,4.644432986348572e-16,-0.008455951877471949,3.885780586188048e-16,3.885780586188048e-16,1.0986122886681096,exact_gradient\rps3\slingshot_seed3.csv
rps3,slingshot,4,6.235752654977963e-16,-0.008531204651858372,5.273559366969494e-16,5.273559366969494e-16,1.0986122886681098,exact_gradient\rps3\slingshot_seed4.csv
