K,algo,seed,final_duality_gap
8,nash_md,0,0.3928347811564677
8,nash_md,1,0.32488127889555135
8,nash_md,2,0.15594065302388022
8,nash_md,3,0.19430284994036828
8,nash_md,4,0.3634117403001742
8,slingshot,0,0.4353856245367813
8,slingshot,1,0.3344513039233041
8,slingshot,2,0.41565098206479556
8,slingshot,3,0.6550946893832692
8,slingshot,4,0.5555139084933327
32,nash_md,0,0.10809989035548927
32,nash_md,1,0.12071511509297472
32,nash_md,2,0.19409608033246403
32,nash_md,3,0.07650364553251456
32,nash_md,4,0.12184227307681511
32,slingshot,0,0.10868188182283203
32,slingshot,1,0.24561648448462975
32,slingshot,2,0.35576956011561833
32,slingshot,3,0.36607724659640284
32,slingshot,4,0.2652960311447805
128,nash_md,0,0.04087818858235793
128,nash_md,1,0.06406611821329702
128,nash_md,2,0.03658850256505907
128,nash_md,3,0.06225998278185592
128,nash_md,4,0.052410125234046645
128,slingshot,0,0.11612559687004048
128,slingshot,1,0.038903826186887445
128,slingshot,2,0.08736565973229268
128,slingshot,3,0.06610699414561452
128,slingshot,4,0.0457590931507811
512,nash_md,0,0.06306243147799287
512,nash_md,1,0.01588807298122861
512,nash_md,2,0.018602708058835765
512,nash_md,3,0.015548574601627329
512,nash_md,4,0.0430540212843758
512,slingshot,0,0.024118127953553663
512,slingshot,1,0.04332469337975518
512,slingshot,2,0.05978059309979897
512,slingshot,3,0.03641792429580506
512,slingshot,4,0.03541233388356481
2048,nash_md,0,0.017940481467076937
2048,nash_md,1,0.024097012001941132
2048,nash_md,2,0.015234043638105304
2048,nash_md,3,0.01588739317296909
2048,nash_md,4,0.012221356277734286
2048,slingshot,0,0.03075394401350147
2048,slingshot,1,0.02736602610251466
2048,slingshot,2,0.00794455683603846
2048,slingshot,3,0.025839667552921112
2048,slingshot,4,0.01564202648462512
