t,duality_gap,tv_to_ne_a,tv_to_ne_b,entropy_a,entropy_b
0,0.2555586797577065,0.2622649697191457,0.11634018930496716,0.9417662417490789,1.0648513898860976
50,0.4115833995903095,0.6403782148490328,0.0582539758714718,0.13713874825905442,1.0891453342391657
100,0.7673465402170951,0.6372963767453628,0.6238954603106451,0.1354909821815238,0.1985106960827066
150,0.7899325453529236,0.6659591439136435,0.6507478778216044,0.0059583871542780685,0.09273215461293839
200,0.7946099374766522,0.6653724360971921,0.6571156365071906,0.009907605579880591,0.05779498254295114
250,0.7350614462981445,0.6666542398916223,0.5854999741324509,0.00015940419851947574,0.2817012492111817
300,0.7649222410210832,0.6228075898107477,0.6666634919377694,0.18026737335671833,4.439710781569854e-05
350,0.7996640428556021,0.66666448390526,0.666241419856251,3.2146475868661086e-05,0.0037872823202860103
400,0.7968296510143107,0.6666665868449351,0.6587414226846564,1.4341021769786943e-06,0.04623928852041273
450,0.7998788500353882,0.6666553111400244,0.6663871199653629,0.00014068705912825296,0.002571272511297278
500,0.7996565595361302,0.6662355859746727,0.6666666177508962,0.003792420712206163,8.947223617948134e-07
550,0.7649354564008297,0.6228359408427286,0.6666666211359467,0.1799348037044182,8.185719234698681e-07
600,0.7906770249510182,0.6550111060803664,0.666666663219089,0.06351102149235631,7.170010858116047e-08
650,0.7350292084991414,0.5854530936474898,0.6666666626929486,0.281725788712528,8.096865326997611e-08
700,0.7999806201115783,0.6666424524330795,0.6666666455459718,0.0002816595858719248,4.089202422668467e-07
750,0.7999980292487199,0.6666645484382581,0.666665953638274,2.9917948938218007e-05,1.0805283782510909e-05
800,0.7924845475833393,0.6666666665815241,0.6478800859245122,2.0600344886174415e-09,0.09329912848909222
850,0.6982503851305535,0.6666666666388176,0.41229265902424755,7.049400582178146e-10,0.5670901616728805
900,0.7999999230933259,0.6666665631112456,0.6666666404744539,1.836157837244506e-06,4.83545504335658e-07
950,0.7676338500524481,0.5857512918470085,0.6666666666655079,0.2809993631918642,3.3300212079704866e-11
1000,0.7999999812273486,0.666666662170106,0.666666628892935,9.095268047413562e-08,6.844710689908513e-07
1050,0.7899901512162156,0.6666666666663,0.6541543552619555,1.093666846114771e-11,0.06725068315073338
1100,0.7999211277979232,0.6664694882596436,0.6666666666648278,0.001879393229042239,5.1616808491142054e-11
1150,0.799999476180052,0.6666660122414474,0.6666666659540584,9.973287118341183e-06,1.57305222668451e-08
1200,0.5985206179472053,0.6666666666666519,0.41481743830755213,4.963392656668444e-13,0.564357657028735
1250,0.7999988698618865,0.6666638415177213,0.6666666665791794,3.892220710818969e-05,2.115657417842855e-09
1300,0.7999889115664136,0.6666528061147223,0.666666666644435,0.00016891160251007945,5.702089108571647e-10
1350,0.7781626075470836,0.6666666666666579,0.6120731945484741,3.0285464658095105e-13,0.21182464851860588
1400,0.7999998708286493,0.6666663550581917,0.6666666610293751,4.980426743539106e-06,1.1271647895774563e-07
1450,0.798042128890639,0.6642193272232635,0.6666666666665128,0.017159609140834628,4.704519443122364e-12
1500,0.7996693850496887,0.6666666666662528,0.6658401299521706,1.230316412582016e-11,0.006693182612443488
1550,0.7999997837174009,0.6666666630852078,0.666666398105217,7.328119148795728e-08,4.3320017295090185e-06
1600,0.6038846440359338,0.4215224677036692,0.6666666666666641,0.5569374967919032,1.0365823929177666e-13
1650,0.7999906525521809,0.6666666666613944,0.6666432982886372,1.424840917604935e-10,0.0002725743452411513
1700,0.799995153200651,0.6666666665194579,0.6666606082259556,3.4815045159024077e-09,7.88452832926932e-05
1750,0.6408781356689037,0.33333331814356826,0.666666666666665,0.6721117551037297,7.34662607224593e-14
1800,0.7999959075413611,0.666666666626963,0.6666564356419918,9.915036243433717e-10,0.00012778689488933672
1850,0.799997621139903,0.6666666666371583,0.6666636930873172,7.462090926920363e-10,4.081505307884852e-05
1900,0.5497124392622821,0.3538072111593721,0.6666666666666645,0.6213696574874769,8.284573185017733e-14
1950,0.7999916482196449,0.6666666666472164,0.6666457874534297,4.995748818615563e-10,0.00024589168919054977
2000,0.7999981008640614,0.6666666664677804,0.6666642928223134,4.642290415646079e-09,3.3118064171018004e-05
2050,0.5624414056609813,0.3697184166528094,0.6666666666666647,0.6082565965508202,7.357034005896724e-14
2100,0.7999966079526922,0.6666666666205117,0.6666581866865839,1.1453195594876932e-09,0.0001075080798354198
2150,0.7999682748727339,0.6666666666601246,0.6666270100799105,1.75189699272667e-10,0.0004415899218915066
2200,0.6685995567845657,0.3381655806570869,0.6666666666666642,0.6331124283711667,9.856957557350783e-14
2250,0.7999998242083521,0.6666666664170109,0.6666662276965715,5.7713966802100834e-09,6.865096554069387e-06
2300,0.7998819586869448,0.6666666666645764,0.666519114923055,5.856049628374033e-11,0.0014491467148155582
2350,0.7853252489274867,0.6299797902849207,0.6666666666666552,0.157268012340681,3.877075936967778e-13
2400,0.7999998544616309,0.6666666658368547,0.6666663045494339,1.8184654078875826e-08,5.733449894856548e-06
