t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,10.800465243633937,6.374898023485352,5.453951887081967,3.4007492845000367,3.4004965223368475,1.0156517091848796,-0.06439481517851434
200,125.2707381852004,5.053944651662872,7.533906251956084,3.3689695509309434,3.327986352545185,5.01276496974522,-7.51430884877482
400,111.10748421911981,10.0,1.304284334888019,3.295789878711637,3.3918949332525665,10.0,-1.1107484219119805
600,126.52590348369483,6.936776430287929,5.796353687217201,3.307748958801656,3.3460214508993533,6.902172739645118,5.750417608724364
800,102.48331342182976,0.7714878594585955,9.999999999999998,3.398036856931071,3.294950395283339,0.2483313421829761,9.999999999999998
1000,126.87277899907335,6.785670877742558,5.98377968051297,3.3250280139296047,3.3229001735818886,-6.747476427446292,5.939801472461044
1200,107.97082511582889,10.0,1.081972452280496,3.2887843095252145,3.400175183799797,-10.0,-0.7970825115828937
1400,126.91526092213824,4.989835070209304,7.789436977605886,3.330075733486819,3.3088632484600846,-4.931491806844793,-7.7600342853690325
1600,116.07656125625705,1.992319176948866,9.764954925551528,3.3974770470512663,3.2917591871943723,1.8435022105195487,-9.764153915106158
1800,126.61118232355213,8.842935200202128,3.9122452597697746,3.2895362248548916,3.3531286648005847,8.814968810779451,-3.8461494215757623
2000,121.35747107059925,9.219689861626655,3.0127307557163645,3.2828634104032632,3.3923788681556757,9.210696694007776,2.9250504130521495
2200,124.2923435409085,2.902274144385442,9.653696297834358,3.3708410753350333,3.2886630729600896,2.791514302265423,9.637720051825426
2400,124.49953145679717,4.060618092918755,8.47745592971041,3.376399061168219,3.3027108118161705,-3.9930843551035333,8.456868790576184
2600,116.13313120563892,9.925172215017877,1.8549103397599942,3.2647705202495603,3.3901661065038433,-9.924281895124892,1.6890312254389972
2800,126.56034151383196,7.6048577997956865,5.125940131494475,3.2969114188105477,3.3584317764311806,-7.574721833753979,-5.081312317629218
2999,116.16392542574636,1.8630662273397696,9.927437100373803,3.3880463434337504,3.2767125314079926,-1.6898876647036838,-9.92650487787095
