t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,178.34381554704933,9.002642133836046,9.138769320765563,2.2829087524597753,1.9039898176715013,8.811594985380502,-9.02278656932443
200,194.7733861076123,9.744908032302263,9.73243062172363,0.00012446809521235376,5.513296802586644e-05,9.744908003928176,-9.732430606833056
400,195.11667199142568,9.769823730491959,9.741843494236774,8.06780095531707e-05,4.573405864080343e-05,9.769823716223328,-9.74184348291924
600,195.4067549239575,9.79022850786325,9.750447001296699,5.646547240562801e-05,3.8589807756647485e-05,9.790228499896969,-9.750446992498782
800,195.65873684354807,9.807504414937613,9.758369281166688,4.1687539950543216e-05,3.302086868792892e-05,9.807504410155888,-9.758369274198916
1000,195.88192274254413,9.822482003201719,9.765710279684646,3.201257014475096e-05,2.8590084428156895e-05,9.822482000175459,-9.765710274078959
1200,196.08249040294976,9.83569959338959,9.772549453470136,2.5337299368644124e-05,2.5003969157459937e-05,9.835699591395798,-9.772549448899175
1400,196.264770953955,9.847526089209783,9.778951011312106,2.0540085476114376e-05,2.205882118361535e-05,9.847526087854389,-9.778951007541115
1600,196.4319294147458,9.858225364915267,9.784967580646992,1.6978302153396693e-05,1.9609340610372228e-05,9.8582253639706,-9.78496757750398
1800,196.5863553271334,9.867992701395785,9.790642834632747,1.4262276417554132e-05,1.7549468817684158e-05,9.867992700723997,-9.790642831989341
1999,194.7058222775547,9.775480530545979,9.695186095767351,0.013864465073886209,0.008550018406616244,9.775424087229338,-9.69515814052613
