t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,174.0477300903097,9.002642133836046,8.683858352917028,2.2829087524597753,1.9115156834838212,8.811594985380502,8.593178023650466
200,196.6496367050048,9.7650075577773,9.899956309945297,0.00038327794376670705,1.5666330731603913e-05,9.765007478103614,9.899956192396866
400,196.99754102769873,9.799793035673641,9.899961209967582,0.00022533689926397215,1.487354886832818e-05,9.79979300400556,9.899961098764313
600,197.26761068313857,9.82679532892891,9.899965860675485,0.0001486303022139568,1.4289730521680767e-05,9.826795314184778,9.899965754129079
800,197.4881091332461,9.84884069822116,9.899970325583563,0.00010553394544413277,1.3832098732077814e-05,9.848840690646856,9.899970222677753
1000,197.67427264202053,9.867452724496623,9.899974643797833,7.888162235751954e-05,1.345831612377993e-05,9.867452720343012,9.899974543859038
1200,197.83525553066806,9.883546811265909,9.899978841631086,6.12351933657167e-05,1.3143974295457911e-05,9.883546808883997,9.899978744182809
1400,197.97698786576564,9.897715945397428,9.899982937898805,4.893943680090348e-05,1.2873789786504929e-05,9.897715943988851,9.89998284258771
1600,198.10353033393125,9.91036618102209,9.899986946666903,4.0024994969597904e-05,1.2637594374429941e-05,9.91036618017168,9.899986853221442
1800,198.2177849040492,9.921787703905842,9.8999908788138,3.3353397291490705e-05,1.2428300799578436e-05,9.921787703385565,9.899990787019355
1999,179.93310824744574,9.830365467242753,8.163019583742914,0.01573250877719321,9.734810742501154e-06,9.83029124181735,-8.163019582927227
