t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,2.6565901915431804,2.753458636026354,2.5001854572438424,3.125840837472559,3.102197181768758,-0.1290564886596865,0.37576480922506517
100,0.03312338848048906,0.12835339132822543,0.23499168783902108,1.0051371965191271,1.3368414792612948,-0.0007452601534692893,-0.004052809875750809
200,-8.43253719304525e-05,0.015328472756860792,0.03028803394838143,0.7009737225422216,0.6627042447192814,-6.393826029000427e-05,1.3749184761321605e-05
300,-0.000620108119867056,0.0018187061578300928,0.0036792666997062335,0.6931066910868243,0.6406403635981678,-1.6134079299189235e-06,1.1319918314214337e-06
400,-0.0006279505390680627,0.00021958603987333973,0.0004541427465400128,0.6929447913666424,0.6401477479490582,-3.3254624421377055e-08,2.7118199037899975e-08
500,-0.0006280691353643681,2.6925731970448806e-05,5.6825264555507545e-05,0.6929416704051172,0.6401376535872192,-6.313368511456736e-10,5.179521245383688e-10
600,-0.000628070979822248,3.346505860912239e-06,7.187854399399154e-06,0.6929416118692433,0.6401374545828789,-1.1482787517180823e-11,8.984978535290422e-12
700,-0.00062807100916079,4.281595356365136e-07,9.206851765265476e-07,0.6929416107845506,0.6401374507394801,-2.0081467771010557e-13,1.4883173355535638e-13
800,-0.0006280710096341609,1.079674681963877e-07,1.5003044108602711e-07,0.6929416107648437,0.6401374506663021,4.045792613213498e-16,2.5682889757670063e-15
900,-0.0006280710096402847,1.0023961909462025e-07,1.057633177737092e-07,0.6929416107646399,0.6401374506651674,3.545795933098046e-15,6.664921834974921e-16
1000,-0.0006280710096402847,1.0023961909462025e-07,1.057633177737092e-07,0.6929416107646399,0.6401374506651674,3.545795933098046e-15,6.664921834974921e-16
1100,-0.0006280710096402847,1.0023961909462025e-07,1.057633177737092e-07,0.6929416107646399,0.6401374506651674,3.545795933098046e-15,6.664921834974921e-16
1200,-0.0006280710096402847,1.0023961909462025e-07,1.057633177737092e-07,0.6929416107646399,0.6401374506651674,3.545795933098046e-15,6.664921834974921e-16
1300,-0.0006280710096402847,1.0023961909462025e-07,1.057633177737092e-07,0.6929416107646399,0.6401374506651674,3.545795933098046e-15,6.664921834974921e-16
1400,-0.0006280710096402847,1.0023961909462025e-07,1.057633177737092e-07,0.6929416107646399,0.6401374506651674,3.545795933098046e-15,6.664921834974921e-16
1500,-0.0006280710096402847,1.0023961909462025e-07,1.057633177737092e-07,0.6929416107646399,0.6401374506651674,3.545795933098046e-15,6.664921834974921e-16
1600,-0.0006280710096402847,1.0023961909462025e-07,1.057633177737092e-07,0.6929416107646399,0.6401374506651674,3.545795933098046e-15,6.664921834974921e-16
1700,-0.0006280710096402847,1.0023961909462025e-07,1.057633177737092e-07,0.6929416107646399,0.6401374506651674,3.545795933098046e-15,6.664921834974921e-16
1800,-0.0006280710096402847,1.0023961909462025e-07,1.057633177737092e-07,0.6929416107646399,0.6401374506651674,3.545795933098046e-15,6.664921834974921e-16
1900,-0.0006280710096402847,1.0023961909462025e-07,1.057633177737092e-07,0.6929416107646399,0.6401374506651674,3.545795933098046e-15,6.664921834974921e-16
1999,-0.0006280710096436727,8.15959116759535e-08,8.434491493610435e-08,0.6929416107646397,0.640137450665167,-2.316198785773372e-15,2.67642447287743e-15
