t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,2.8397131451475794,2.9034213922285574,2.469219640692538,3.172338319255699,3.0719074007316447,-0.13108013675802782,0.4230680534849872
100,-0.0006276669524320742,0.0009151997998330376,6.804770996211582e-05,7.075231942297843e-05,4.431653761958798e-07,2.3223887973850903e-08,-3.813468824314484e-09
200,-0.0006280710096423566,7.355338570830363e-08,1.0580099179253061e-07,1.0674868187669042e-12,1.0284919126483387e-12,1.584590421752527e-15,1.8166720560356957e-16
300,-0.0006280710096425373,6.977603086541279e-08,1.058009917925305e-07,1.0171676377971623e-12,1.0284919126483387e-12,1.4486935464633688e-15,1.8166720560356227e-16
400,-0.0006280710096429746,9.442931222464686e-08,7.94675662886985e-08,1.0289360018581887e-12,1.0165015039823872e-12,2.5441925221984346e-15,5.3573698513029266e-17
500,-0.0006280710096429746,9.442931222464686e-08,7.94675662886985e-08,1.0289360018581887e-12,1.0165015039823872e-12,2.5441925221984346e-15,5.3573698513029266e-17
600,-0.0006280710096425373,6.977603086541279e-08,1.058009917925305e-07,1.0171676377971623e-12,1.0284919126483387e-12,1.4486935464633688e-15,1.8166720560356227e-16
700,-0.0006280710096425373,6.977603086541279e-08,1.058009917925305e-07,1.0171676377971623e-12,1.0284919126483387e-12,1.4486935464633688e-15,1.8166720560356227e-16
800,-0.0006280710096425373,6.977603086541279e-08,1.058009917925305e-07,1.0171676377971623e-12,1.0284919126483387e-12,1.4486935464633688e-15,1.8166720560356227e-16
900,-0.0006280710096429746,9.442931222464686e-08,7.94675662886985e-08,1.0289360018581887e-12,1.0165015039823872e-12,2.5441925221984346e-15,5.3573698513029266e-17
1000,-0.0006280710096425373,6.977603086541279e-08,1.058009917925305e-07,1.0171676377971623e-12,1.0284919126483387e-12,1.4486935464633688e-15,1.8166720560356227e-16
1100,-0.0006280710096425373,6.977603086541279e-08,1.058009917925305e-07,1.0171676377971623e-12,1.0284919126483387e-12,1.4486935464633688e-15,1.8166720560356227e-16
1200,-0.0006280710096425373,6.977603086541279e-08,1.058009917925305e-07,1.0171676377971623e-12,1.0284919126483387e-12,1.4486935464633688e-15,1.8166720560356227e-16
1300,-0.0006280710096429746,9.442931222464686e-08,7.94675662886985e-08,1.0289360018581887e-12,1.0165015039823872e-12,2.5441925221984346e-15,5.3573698513029266e-17
1400,-0.0006280710096429746,9.442931222464686e-08,7.94675662886985e-08,1.0289360018581887e-12,1.0165015039823872e-12,2.5441925221984346e-15,5.3573698513029266e-17
1500,-0.0006280710096425373,6.977603086541279e-08,1.058009917925305e-07,1.0171676377971623e-12,1.0284919126483387e-12,1.4486935464633688e-15,1.8166720560356227e-16
1600,-0.0006280710096429746,9.442931222464686e-08,7.94675662886985e-08,1.0289360018581887e-12,1.0165015039823872e-12,2.5441925221984346e-15,5.3573698513029266e-17
1700,-0.0006280710096425373,6.977603086541279e-08,1.058009917925305e-07,1.0171676377971623e-12,1.0284919126483387e-12,1.4486935464633688e-15,1.8166720560356227e-16
1800,-0.0006280710096425373,6.977603086541279e-08,1.058009917925305e-07,1.0171676377971623e-12,1.0284919126483387e-12,1.4486935464633688e-15,1.8166720560356227e-16
1900,-0.0006280710096425373,6.977603086541279e-08,1.058009917925305e-07,1.0171676377971623e-12,1.0284919126483387e-12,1.4486935464633688e-15,1.8166720560356227e-16
1999,-0.0006280710095981016,2.6158376913449576e-07,2.7187163128776007e-07,1.0289360018581887e-12,1.0289360018581887e-12,9.135636315844581e-15,-2.254991278365132e-15
