t,duality_gap,w2_mu,w2_nu,entropy_a,entropy_b,barycenter_x,barycenter_y
0,92.86249114588036,1.6567668156026305,9.777676331575538,2.531823705603106,1.2151391835759346,0.8296079857399881,-9.310696194462786
100,0.08592766007990495,0.4033821317463762,0.10139470719907052,0.33583348164701016,1.225928201999391,0.0002228200266863959,-0.0020427581414197925
200,-0.0005690836076743956,0.006330514990959973,0.008386916955318638,0.0008127374549916334,1.0990542196432214,-6.49591553628448e-05,-8.84664085049749e-05
300,-0.0006280226163405784,0.00021074317122140934,0.00041802387687800153,1.39117076418254e-06,1.098613999758183,-8.775694042626204e-08,9.431760253129587e-08
400,-0.0006281366096714434,1.4692681036417737e-05,8.610249004680953e-06,3.2701635109460377e-09,1.098612292355707,7.833645007799516e-11,-5.163878739186244e-11
500,-0.0006281367574804582,3.0451639886938523e-07,8.900032937143972e-07,5.641065148312165e-12,1.0986122886818455,-2.4974727801085035e-13,2.578576352389501e-13
600,-0.0006281367578930513,2.712203936552265e-07,9.742356647021638e-08,1.0727812578458884e-12,1.09861228866904,8.111999057705992e-15,2.487510707098693e-15
700,-0.0006281367578931231,2.712203936552261e-07,9.74235664702165e-08,1.0727812578458811e-12,1.09861228866904,5.647619716193932e-15,2.0858588048035493e-15
800,-0.0006281367578928789,2.7122039365522595e-07,9.74235664702165e-08,1.072781257845881e-12,1.09861228866904,1.1355908520373776e-14,6.1203360438226325e-15
900,-0.0006281367578923301,2.712203936552261e-07,9.742356647021712e-08,1.0727812578458811e-12,1.09861228866904,2.3962842551119016e-14,1.541268131236423e-14
1000,-0.0006281367578930982,2.7122039365522605e-07,9.742356647021647e-08,1.0727812578458811e-12,1.09861228866904,6.2006118476602276e-15,2.530495175394229e-15
1100,-0.0006281367578985255,8.878811948018353e-08,2.5183483589379696e-07,1.0291580464631137e-12,1.0986122886690737,-3.62650812336347e-15,-1.8690792798587396e-14
1200,-0.0006281367578924573,2.7122039365522664e-07,9.742356647021666e-08,1.0727812578458886e-12,1.09861228866904,2.2981078016738557e-14,1.1318240163178678e-14
1300,-0.000628136757893044,2.7122039365522605e-07,9.742356647021647e-08,1.0727812578458811e-12,1.09861228866904,7.448799998385662e-15,3.4404640310501123e-15
1400,-0.0006281367578985426,8.878811948018337e-08,2.5183483589379686e-07,1.0291580464631137e-12,1.0986122886690737,-9.577850312265163e-15,1.382848712519111e-14
1500,-0.0006281367578983854,8.87881194801833e-08,2.518348358937975e-07,1.0291580464631137e-12,1.0986122886690737,-7.914879979006461e-15,2.1766192876562945e-14
1600,-0.000628136757898617,8.878811948018357e-08,2.5183483589379654e-07,1.0291580464631137e-12,1.0986122886690737,-8.491781059846032e-15,-1.0171729406938874e-14
1700,-0.0006281367578926758,2.712203936552265e-07,9.742356647021644e-08,1.0727812578458884e-12,1.09861228866904,1.7647481741715843e-14,7.932246666527856e-15
1800,-0.0006281367578929043,2.7122039365522595e-07,9.74235664702165e-08,1.072781257845881e-12,1.09861228866904,1.0688043310559402e-14,5.777839775679221e-15
1900,-0.0006281367578984713,8.87881194801839e-08,2.518348358937971e-07,1.0291580464631137e-12,1.0986122886690737,2.9524785756191545e-15,-1.9742349971700334e-14
1999,-0.0006281367579269673,8.530865676729812e-08,9.001614549412507e-08,1.024051020549838e-12,1.09861228866904,-3.740500503869614e-15,3.5215779283247433e-15
